size,i,dot_time,prod_time
5100,7,2.801e-6,0.2696648
5100,8,3.001e-6,0.272361499
5100,9,3.101e-6,0.271858699
5100,10,3.2e-6,0.268643799
5400,1,3.301e-6,0.325734599
5400,2,3.1e-6,0.3081499
5400,3,3.4e-6,0.307747
5400,4,3.0e-6,0.3088318
5400,5,3.0e-6,0.3075405
5400,6,3.101e-6,0.3069664
5400,7,3.201e-6,0.323917299
5400,8,3.0e-6,0.3070913
5400,9,2.9e-6,0.3086951
5400,10,3.401e-6,0.3130151
5700,1,3.501e-6,0.3510398
5700,2,3.4e-6,0.3451335
5700,3,3.201e-6,0.3669849
5700,4,3.999e-6,0.345371301
5700,5,3.2e-6,0.346824699
5700,6,3.201e-6,0.3463243
5700,7,3.2e-6,0.348853301
5700,8,3.199e-6,0.373171
5700,9,3.201e-6,0.343594799
5700,10,3.199e-6,0.341037701
6000,1,3.501e-6,0.400023299
6000,2,3.4e-6,0.4687709
6000,3,3.4e-6,0.3940101
6000,4,3.401e-6,0.42186
6000,5,3.601e-6,0.398206001
6000,6,3.399e-6,0.398762201
6000,7,3.5e-6,0.3992517
6000,8,3.299e-6,0.405592201
6000,9,3.401e-6,0.4247644
6000,10,4.6e-6,0.3938237
